parameter,lot_id,date,Owner
P032_bit_PD_R_Vtsat_M5,AZCP5,2022-08-20,SRAM
P032_bit_PD_R_Vtlin_M5,AZCP5,2022-08-20,SRAM
P032_bit_PD_R_Idsat_M5,AZCP5,2022-08-20,SRAM
P032_IREAD_R_M5,AZCP5,2022-08-20,SRAM
P032_1b_PD_Idsat_avg_M5,AZCP5,2022-08-20,SRAM
EGN_PBTI_150_20F_PreVt_M5,A2CG1,2022-07-14,REL
EGN_PBTI_150_20F_PreVt_M5,A2CG1,2022-07-14,REL
EGN_PBTI_150_20F_PreVt_M5,A2CG1,2022-07-14,REL
EGN_PBTI_150_20F_PreVt_M5,A2CG1,2022-07-14,REL
EGP_NBTI_150_20F_PreVt_M5,A2CG1,2022-07-14,REL
EGP_NBTI_150_20F_PreVt_M5,A2CG1,2022-07-14,REL
EGP_NBTI_150_20F_PreVt_M5,A2CG1,2022-07-14,REL
EGP_NBTI_150_20F_PreVt_M5,A2CG1,2022-07-14,REL
SGN_PBTI_08_40F_U_PreVt_M5,A2CG1,2022-07-14,REL
SGN_PBTI_08_40F_U_PreVt_M5,A2CG1,2022-07-14,REL
SGN_PBTI_08_40F_U_PreVt_M5,A2CG1,2022-07-14,REL
SGN_PBTI_08_40F_U_PreVt_M5,A2CG1,2022-07-14,REL
SGP_NBTI_150_08_40F_U_PreVt_M5,A2CG1,2022-07-14,REL
SGP_NBTI_150_08_40F_U_Ref_IG_M5,A2CG1,2022-07-14,REL
P032_bit_PG_L_Vtlin_M5,A273N,2022-07-02,SRAM
EP_HCI_before_lin_M5,A2BZX,2022-06-13,REL
vchnB_V1_DUT1_RES_M5,A27RF,2022-05-06,BEOL
vchnB_V1_DUT1_RES_M5,A27RF,2022-05-06,BEOL
vchnB_V1_DUT1_RES_M5,A27RF,2022-05-06,BEOL
vchnB_V1_DUT1_RES_M5,A27RF,2022-05-06,BEOL
vchnB_V1_DUT2_RES_M5,A27RF,2022-05-06,BEOL
vchnA_V2_DUT2_RES_M5,A27RF,2022-05-06,BEOL
9T_V2BARPWR_4pt~Res_M5,A27RF,2022-05-06,FEOLMOL_HOL
9T_V1V2PWR_4pt~Res_M5,A27RF,2022-05-06,FEOLMOL_HOL
M3PWR_w36s21_4pt~Res_M5,A27RF,2022-05-06,FEOLMOL_HOL
M3PWR_w36s62_4pt~Res_M5,A27RF,2022-05-06,FEOLMOL_HOL
EGP_NBTI_150_20F_Ref_ID_M5,A28R6,2022-04-27,REL
EGP_NBTI_150_20F_Ref_ID_M5,A28R6,2022-04-27,REL
EGP_NBTI_150_20F_Ref_ID_M5,A28R6,2022-04-27,REL
EGP_NBTI_150_20F_Ref_ID_M5,A28R6,2022-04-27,REL
SGN_PBTI_08_40F_U_Ref_ID_M5,A28R6,2022-04-27,REL
SGP_NBTI_08_40F_U_Ref_ID_M5,A28R6,2022-04-27,REL
SGP_NBTI_150_08_40F_U_Ref_ID_M5,A28R6,2022-04-27,REL
SGP_NBTI_150_08_40F_U_SHIFT1_M5,A28R6,2022-04-27,REL
SGP_NBTI_150_08_40F_U_SHIFT2_M5,A28R6,2022-04-27,REL
TPLL053_FET_RPG_Vtlin_M5,A29AR,2022-04-21,SRAM
EN_HCI_after_lin_M5,A291X,2022-04-20,REL
CMBSRP_M4_DUT4_RES_M5,A24D3,2022-04-16,BEOL
EP_HCI_after_lin_M5,A2698,2022-04-07,REL
CMBSRP_M3_DUT1_RES_M5,A21WT,2022-03-31,BEOL
CMBSRP_M3_DUT1_RES_M5,A21WT,2022-03-31,BEOL
CMBSRP_M3_DUT1_RES_M5,A21WT,2022-03-31,BEOL
CMBSRP_M3_DUT1_RES_M5,A21WT,2022-03-31,BEOL
CMBSRP_M3_DUT2_RES_M5,A21WT,2022-03-31,BEOL
CMBSRP_M3_DUT2_RES_M5,A21WT,2022-03-31,BEOL
CMBSRP_M3_DUT2_RES_M5,A21WT,2022-03-31,BEOL
CMBSRP_M3_DUT2_RES_M5,A21WT,2022-03-31,BEOL
ISOVIA_ISO_MD_Res_M5,A21WT,2022-03-31,BEOL
vchnA_V2_DUT1_RES_M5,A21WT,2022-03-31,BEOL
vchnB_V2_DUT1_RES_M5,A21WT,2022-03-31,BEOL
vchnB_V2_DUT2_RES_M5,A21WT,2022-03-31,BEOL
METAL_KELVIN_J4_M5,A21WT,2022-03-31,BEOL
METAL_KELVIN_M3_M5,A21WT,2022-03-31,BEOL
METAL_KELVIN_M4_M5,A21WT,2022-03-31,BEOL
METAL_KELVIN_Z4_M5,A21WT,2022-03-31,BEOL
9T_M3signal_4pt~Res_M5,A21WT,2022-03-31,FEOLMOL_HOL
M3PWR_w36s33_4pt~Res_M5,A21WT,2022-03-31,FEOLMOL_HOL
M3_w24s16_4pt~Res_M5,A21WT,2022-03-31,FEOLMOL_HOL
CMBSRP_M4_DUT3_RES_M5,A21WT,2022-03-31,BEOL
PUL9T4FMDBREF~Vtlin_100n_M5,A1Y28,2022-02-13,Device
PUL9T4FMDBREF~Vtsat_100n_M5,A1Y28,2022-02-13,Device
