parameter,lot_id,date,Owner
SN_HCI_before_M5,A2PYZ,2022-08-23,REL
SN_HCI_stress_ileak_ID_M5,A2PYZ,2022-08-23,REL
SN_HCI_stress_ileak_IS_M5,A2PYZ,2022-08-23,REL
SN_HCI_after_M5,A2PYZ,2022-08-23,REL
SN_HCI_before_095_M5,A2PYZ,2022-08-23,REL
SN_HCI_after_095_M5,A2PYZ,2022-08-23,REL
P032_bit_PD_L_Vtsat_M5,AZCP5,2022-08-20,SRAM
P032_bit_PD_R_Vtsat_M5,AZCP5,2022-08-20,SRAM
P032_bit_PD_L_Vtlin_M5,AZCP5,2022-08-20,SRAM
P032_bit_PD_R_Vtlin_M5,AZCP5,2022-08-20,SRAM
P032_bit_PG_R_Vtlin_M5,AZCP5,2022-08-20,SRAM
P032_bit_PD_L_Idsat_M5,AZCP5,2022-08-20,SRAM
P032_bit_PD_R_Idsat_M5,AZCP5,2022-08-20,SRAM
P032_bit_PG_L_Idsat_M5,AZCP5,2022-08-20,SRAM
P032_bit_PD_R_Idlin_M5,AZCP5,2022-08-20,SRAM
P032_FET_PD_Vtsat_M5,AZCP5,2022-08-20,SRAM
P032_FET_PG_Vtsat_M5,AZCP5,2022-08-20,SRAM
P032_FET_PD_Vtlin_M5,AZCP5,2022-08-20,SRAM
P032_FET_PG_Vtlin_M5,AZCP5,2022-08-20,SRAM
P032_IREAD_L_M5,AZCP5,2022-08-20,SRAM
P032_IREAD_R_M5,AZCP5,2022-08-20,SRAM
PL032S_bit_PD_R_Vtsat_M5,AZCP5,2022-08-20,SRAM
PL032S_bit_PG_R_Vtsat_M5,AZCP5,2022-08-20,SRAM
PL032S_bit_PD_R_Vtlin_M5,AZCP5,2022-08-20,SRAM
PL032S_bit_PG_R_Vtlin_M5,AZCP5,2022-08-20,SRAM
PL032S_bit_PD_R_Idsat_M5,AZCP5,2022-08-20,SRAM
PL032S_bit_PG_R_Idsat_M5,AZCP5,2022-08-20,SRAM
PL032S_FET_PD_Vtlin_M5,AZCP5,2022-08-20,SRAM
PL032S_IREAD_R_M5,AZCP5,2022-08-20,SRAM
