parameter,lot_id,date,Owner
DLW_P_LVT_30_90_DDB_4_Idlin_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_30_90_DDB_4_Idsat@0.75V_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_30_90_DDB_4_Ihigh@0.75V_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_30_90_DDB_4_Iodlin@0.4Vod_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_30_90_DDB_4_Iodlin@0.5Vod_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_30_90_DDB_4_Iodlin@0.8Vod_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_40_100_DDB_4_Idlin_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_40_100_DDB_4_Idsat@0.75V_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_40_100_DDB_4_Ihigh@0.75V_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_40_100_DDB_4_Iodlin@0.4Vod_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_40_100_DDB_4_Iodlin@0.5Vod_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_40_100_DDB_4_Iodlin@0.8Vod_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_150_230_DDB_4_Iodlin@0.4Vod_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_150_230_DDB_4_Iodlin@0.5Vod_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_150_230_DDB_4_Iodlin@0.8Vod_M1,A2AKA,2022-04-30,Device
Toxgl_P_type_RVT_3_8_60_MDB_54000_1V_M1,A2ATR,2022-04-30,Device
M032_40FIN_C_PD_Vtsat_M1,A2AHP,2022-04-22,SRAM
DLW_N_EG_200_280_DDB_4_Vtlin_M1,A2C01,2022-04-19,Device
DLW_N_EGU_80_160_DDB_4_Idsat@1.2V_M1,A2AC5,2022-04-14,Device
DLW_N_EGU_80_160_DDB_4_Ihigh@1.2V_M1,A2AC5,2022-04-14,Device
DLW_N_EG_200_280_DDB_4_Ihigh@1.8V_M1,A2AC5,2022-04-14,Device
TPLL053_FET_RPG_Vtlin_M1,A2AF5,2022-04-14,SRAM
NL9T4FMDBREF~Vtsat_100n_M1,A2AF5,2022-04-14,Device
